,Symbol,Target,Industry,Price ($),Price Change,Volume,News Sentiment,Market Cap,Optionable,CIK,S-4 Filing Date,Returns Since S-4,Days Since S-4
0,HLXA,,Health,$10.84,-4.66 %,98501,0 %,135.64M,,0001821586,,,
1,SSPK,Weedmaps / WM Holding Company,Cannabis,$13.03,2.04 %,970472,43 %,406.34M,,0001779474,,,
2,JYAC,,Seeking,$10.31,0.10 %,96843,0 %,106.63M,,0001824119,,,
3,STWO,,Energy,$10.10,0.20 %,94642,0 %,252.00M,,0001819438,,,
4,SOAC,,Seeking,$10.62,-1.30 %,914208,0 %,412.00M,,0001798562,,,
5,FTOC,,Tech,$10.46,1.55 %,912204,0 %,799.74M,,0001816090,,,
6,DGNR,,Seeking,$13.28,0.08 %,90680,0 %,915.63M,,0001818201,,,
7,GWAC,,Seeking,$9.98,0.30 %,89804,0 %,213.71M,,0001819989,,,
8,HOL,,Seeking,$10.20,0.89 %,87998,0 %,303.30M,,-1,,,
9,LFAC,Landsea Homes Incorporated,Tech,$10.60,-0.19 %,84062,43 %,170.66M,,0001721386,,,
10,WPF,,Tech,$11.14,-0.36 %,831168,0 %,1.16B,,0001809104,,,
11,NBAC,Nuvve Corporation,Energy,$16.00,-7.08 %,825874,9 %,134.83M,,0001780262,,,
12,BLSA,,Health,$10.96,-1.62 %,82696,0 %,160.14M,,0001823200,,,
13,AJAX,,"Technology, Software, FinTech, Consumer, Unicorns",$11.68,-1.02 %,805845,0 %,949.89M,,0001824963,,,
14,SNPR,,Energy,$11.00,3.29 %,805446,0 %,367.42M,,0001819584,,,
15,RPLA,Finance of America Companies,Consumer,$10.31,-0.87 %,769403,32 %,373.75M,,0001763731,2020-12-22,0.78,18.0
16,DEH,,Seeking,$10.09,-0.69 %,75226,0 %,350.52M,,0001812173,,,
17,TMTS,,Tech,$10.11,0.50 %,73765,0 %,201.20M,,0001822553,,,
18,ACEV,,Tech,$10.24,0.20 %,66596,0 %,235.06M,,0001813658,,,
19,MLAC,,Consumer,$9.99,0.81 %,66032,0 %,142.46M,,0001807594,,,
20,THCA,,Cannabis,$10.91,-0.91 %,627536,28 %,243.65M,,0001773087,,,
21,FGNA,,Consumer,$10.21,0.29 %,61350,0 %,-,,0001818502,,,
22,PSAC,,Consumer,$10.08,0.80 %,60800,0 %,295.17M,,0001805521,,,
23,GHIV,United Wholesale Mortgage,Consumer,$12.95,-1.37 %,6932079,72 %,558.03M,Yes,0001783398,,,
24,HEC,,Tech,$10.95,1.30 %,578466,0 %,447.53M,,0001803901,,,
25,HSAQ,,Seeking,$13.00,1.48 %,57644,0 %,261.96M,,0001814114,,,
26,ATAC,Blue Owl Capital Inc (Owl Rock Capital Group and Dyal Capital Partners),Consumer,$10.90,-4.22 %,548969,57 %,312.95M,,-1,,,
27,CONX,,Seeking,$10.14,-0.88 %,54722,0 %,767.35M,,-1,,,
28,TDAC,Lottery.com,Consumer,$12.10,1.17 %,524274,62 %,139.93M,,0001673481,,,
29,RACA,,Health,$13.97,0.36 %,5020,0 %,195.46M,,0001811764,,,
30,RBAC,,Consumer,$10.88,-0.09 %,490743,42 %,626.18M,Yes,0001815184,,,
31,SAII,,Tech,$10.10,1.51 %,48366,0 %,171.64M,,0001816048,,,
32,CRHC,,Tech,$10.34,-0.67 %,475769,0 %,861.95M,,0001818212,,,
33,PRPB,,Seeking,$10.23,-1.63 %,452309,0 %,861.12M,,0001812667,,,
34,CRSA,,Seeking,$10.55,0.96 %,430951,28 %,330.01M,,0001723648,,,
35,SPNV,,Seeking,$11.01,0.09 %,405001,100 %,442.75M,,0001825024,,,
36,YAC,,Seeking,$10.15,0.50 %,40298,0 %,348.45M,,0001815302,,,
37,SBE,ChargePoint,EV,$36.78,-8.23 %,4733547,60 %,1.26B,Yes,0001777393,2020-12-28,-2.8,12.0
38,PDAC,,Energy,$10.33,-0.29 %,396296,0 %,310.80M,,0001821317,,,
39,BCTG,,Tech,$11.37,-0.61 %,39630,0 %,244.56M,,0001819133,,,
40,DSAC,,Seeking,$9.99,0.30 %,39382,0 %,174.30M,,0001823466,,,
41,NHIC,,Seeking,$10.08,0.70 %,39006,0 %,172.67M,,0001805385,,,
42,AVAN,,Seeking,$10.16,-1.17 %,359361,0 %,616.80M,,0001819608,,,
